name,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qpos_34,qpos_35,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,ctrl_6,ctrl_7,ctrl_8,ctrl_9,ctrl_10,ctrl_11,ctrl_12,ctrl_13,ctrl_14,ctrl_15,ctrl_16,ctrl_17,ctrl_18,ctrl_19,ctrl_20,ctrl_21,ctrl_22,ctrl_23,ctrl_24,ctrl_25,ctrl_26,ctrl_27,ctrl_28
gen_000000_tz+0.04_tx-0.03_ty-0.02_p-0.05_fx-0.03_fy+0.00,-0.279264,1.9714048,0.496327,0.999206,0.023682,0.0319273,0.002757,-1.45553,-0.00391638,-0.0162429,1.64251,-0.250836,-0.0637209,-1.48746,-0.00445988,-0.0172295,1.68365,-0.260026,-0.0648407,-0.00122999,-0.0315067,-0.0856602,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.45553,-0.00391638,-0.0162429,1.64251,-0.250836,-0.0637209,-1.48746,-0.00445988,-0.0172295,1.68365,-0.260026,-0.0648407,-0.00122999,-0.0315067,-0.0856602,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000001_tz+0.04_tx-0.03_ty-0.02_p-0.05_fx-0.02_fy+0.00,-0.2785,1.971406,0.496331,0.999437,0.0236598,0.0236405,0.00260933,-1.44457,-0.00410703,-0.0162952,1.62343,-0.226142,-0.0637094,-1.47664,-0.00466066,-0.0172733,1.66455,-0.235173,-0.0648277,-0.000802927,-0.0314317,-0.069089,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.44457,-0.00410703,-0.0162952,1.62343,-0.226142,-0.0637094,-1.47664,-0.00466066,-0.0172733,1.66455,-0.235173,-0.0648277,-0.000802927,-0.0314317,-0.069089,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000002_tz+0.04_tx-0.03_ty-0.02_p-0.05_fx-0.01_fy+0.00,-0.277744,1.9714067,0.496346,0.999598,0.0236344,0.0154367,0.00245904,-1.43314,-0.00427759,-0.0163533,1.60362,-0.201358,-0.063698,-1.46534,-0.00484069,-0.0173235,1.64473,-0.210249,-0.0648147,-0.000373549,-0.0313469,-0.0526877,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.43314,-0.00427759,-0.0163533,1.60362,-0.201358,-0.063698,-1.46534,-0.00484069,-0.0173235,1.64473,-0.210249,-0.0648147,-0.000373549,-0.0313469,-0.0526877,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000003_tz+0.04_tx-0.03_ty-0.02_p-0.05_fx+0.00_fy+0.00,-0.276993,1.9714068,0.496371,0.999692,0.0236055,0.0073034,0.0023057,-1.4212,-0.00442762,-0.0164186,1.58307,-0.176492,-0.0636873,-1.45353,-0.00499957,-0.0173814,1.62419,-0.185261,-0.0648022,5.90719e-05,-0.0312518,-0.0364299,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.4212,-0.00442762,-0.0164186,1.58307,-0.176492,-0.0636873,-1.45353,-0.00499957,-0.0173814,1.62419,-0.185261,-0.0648022,5.90719e-05,-0.0312518,-0.0364299,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000004_tz+0.04_tx-0.03_ty-0.02_p-0.05_fx+0.01_fy+0.00,-0.276247,1.9714061,0.496407,0.99972,0.0235715,-0.000769388,0.0021496,-1.40874,-0.00455804,-0.0164961,1.5618,-0.151546,-0.0636783,-1.44118,-0.00513836,-0.017452,1.60293,-0.160214,-0.0647913,0.000494359,-0.0311426,-0.0202949,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.40874,-0.00455804,-0.0164961,1.5618,-0.151546,-0.0636783,-1.44118,-0.00513836,-0.017452,1.60293,-0.160214,-0.0647913,0.000494359,-0.0311426,-0.0202949,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000005_tz+0.04_tx-0.03_ty-0.02_p-0.05_fx+0.02_fy+0.00,-0.275505,1.9714044,0.496453,0.999683,0.02353,-0.00878592,0.00199163,-1.39573,-0.00467067,-0.0165917,1.53979,-0.126516,-0.0636724,-1.42828,-0.00525903,-0.0175412,1.58094,-0.135105,-0.0647835,0.000930311,-0.031015,-0.00427306,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.39573,-0.00467067,-0.0165917,1.53979,-0.126516,-0.0636724,-1.42828,-0.00525903,-0.0175412,1.58094,-0.135105,-0.0647835,0.000930311,-0.031015,-0.00427306,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000006_tz+0.04_tx-0.03_ty-0.02_p-0.05_fx+0.03_fy+0.00,-0.274767,1.9714019,0.496509,0.999582,0.0234823,-0.0167561,0.00183055,-1.38215,-0.00476303,-0.0167031,1.51703,-0.101404,-0.0636693,-1.4148,-0.00535908,-0.0176468,1.55823,-0.109932,-0.0647783,0.00136929,-0.030871,0.0116564,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.38215,-0.00476303,-0.0167031,1.51703,-0.101404,-0.0636693,-1.4148,-0.00535908,-0.0176468,1.55823,-0.109932,-0.0647783,0.00136929,-0.030871,0.0116564,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000007_tz+0.04_tx-0.02_ty-0.02_p-0.05_fx-0.03_fy+0.00,-0.270033,1.9714026,0.496334,0.998902,0.0236972,0.0403006,0.00290443,-1.46603,-0.00371068,-0.0162055,1.66086,-0.275438,-0.0637346,-1.4978,-0.00424355,-0.0172009,1.70202,-0.284809,-0.0648558,-0.00165917,-0.0315644,-0.10241,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.46603,-0.00371068,-0.0162055,1.66086,-0.275438,-0.0637346,-1.4978,-0.00424355,-0.0172009,1.70202,-0.284809,-0.0648558,-0.00165917,-0.0315644,-0.10241,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000008_tz+0.04_tx-0.02_ty-0.02_p-0.05_fx-0.02_fy+0.00,-0.269264,1.9714048,0.496327,0.999206,0.023682,0.0319275,0.00275701,-1.45553,-0.0039164,-0.0162427,1.64251,-0.250836,-0.0637208,-1.48746,-0.00445989,-0.0172293,1.68365,-0.260026,-0.0648407,-0.00123002,-0.0315068,-0.0856606,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.45553,-0.0039164,-0.0162427,1.64251,-0.250836,-0.0637208,-1.48746,-0.00445989,-0.0172293,1.68365,-0.260026,-0.0648407,-0.00123002,-0.0315068,-0.0856606,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000009_tz+0.04_tx-0.02_ty-0.02_p-0.05_fx-0.01_fy+0.00,-0.2685,1.9714061,0.496331,0.999437,0.0236599,0.0236407,0.00260934,-1.44457,-0.00410704,-0.016295,1.62343,-0.226142,-0.0637093,-1.47664,-0.00466067,-0.0172731,1.66455,-0.235173,-0.0648276,-0.000802961,-0.0314318,-0.0690895,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.44457,-0.00410704,-0.016295,1.62343,-0.226142,-0.0637093,-1.47664,-0.00466067,-0.0172731,1.66455,-0.235173,-0.0648276,-0.000802961,-0.0314318,-0.0690895,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
