name,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qpos_34,qpos_35,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,ctrl_6,ctrl_7,ctrl_8,ctrl_9,ctrl_10,ctrl_11,ctrl_12,ctrl_13,ctrl_14,ctrl_15,ctrl_16,ctrl_17,ctrl_18,ctrl_19,ctrl_20,ctrl_21,ctrl_22,ctrl_23,ctrl_24,ctrl_25,ctrl_26,ctrl_27,ctrl_28
gen_000000_tz+0.10_tx-0.03_ty-0.02_p-0.05_fx-0.03_fy+0.00,-0.280402,3.4711304,0.555997,0.998704,0.0204694,0.046533,0.00263821,-1.31612,-0.000526893,-0.0164824,1.40982,-0.186828,-0.057266,-1.34449,-0.000879839,-0.0172199,1.45145,-0.200064,-0.0580333,-0.000927683,-0.0251686,-0.114922,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.31612,-0.000526893,-0.0164824,1.40982,-0.186828,-0.057266,-1.34449,-0.000879839,-0.0172199,1.45145,-0.200064,-0.0580333,-0.000927683,-0.0251686,-0.114922,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000001_tz+0.10_tx-0.03_ty-0.02_p-0.05_fx-0.02_fy+0.00,-0.279629,3.4711317,0.555973,0.999058,0.0204412,0.0382118,0.00247154,-1.30398,-0.000595055,-0.0165853,1.39069,-0.163176,-0.0572723,-1.33254,-0.000957653,-0.0173203,1.43238,-0.17629,-0.0580388,-0.000512496,-0.0250809,-0.0982778,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.30398,-0.000595055,-0.0165853,1.39069,-0.163176,-0.0572723,-1.33254,-0.000957653,-0.0173203,1.43238,-0.17629,-0.0580388,-0.000512496,-0.0250809,-0.0982778,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000002_tz+0.10_tx-0.03_ty-0.02_p-0.05_fx-0.01_fy+0.00,-0.278855,3.4711324,0.555959,0.999342,0.0204082,0.0298926,0.00229781,-1.29122,-0.000636948,-0.0166949,1.37077,-0.139374,-0.0572807,-1.31997,-0.00100891,-0.0174279,1.41254,-0.15238,-0.0580463,-8.49082e-05,-0.0249802,-0.0816431,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.29122,-0.000636948,-0.0166949,1.37077,-0.139374,-0.0572807,-1.31997,-0.00100891,-0.0174279,1.41254,-0.15238,-0.0580463,-8.49082e-05,-0.0249802,-0.0816431,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000003_tz+0.10_tx-0.03_ty-0.02_p-0.05_fx+0.00_fy+0.00,-0.278078,3.4711322,0.555956,0.999558,0.0203681,0.0215653,0.00211944,-1.27782,-0.000656523,-0.0168179,1.35007,-0.115424,-0.0572924,-1.30675,-0.00103769,-0.0175494,1.39193,-0.128336,-0.0580569,0.000350205,-0.0248611,-0.0649972,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.27782,-0.000656523,-0.0168179,1.35007,-0.115424,-0.0572924,-1.30675,-0.00103769,-0.0175494,1.39193,-0.128336,-0.0580569,0.000350205,-0.0248611,-0.0649972,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000004_tz+0.10_tx-0.03_ty-0.02_p-0.05_fx+0.01_fy+0.00,-0.277299,3.471131,0.555963,0.999704,0.0203197,0.0132235,0.00193718,-1.26374,-0.00065462,-0.0169573,1.32857,-0.0913215,-0.057308,-1.29285,-0.00104492,-0.0176878,1.37053,-0.104157,-0.0580714,0.000791019,-0.024721,-0.0483263,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.26374,-0.00065462,-0.0169573,1.32857,-0.0913215,-0.057308,-1.29285,-0.00104492,-0.0176878,1.37053,-0.104157,-0.0580714,0.000791019,-0.024721,-0.0483263,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000005_tz+0.10_tx-0.03_ty-0.02_p-0.05_fx+0.02_fy+0.00,-0.276516,3.4711288,0.555981,0.999781,0.0202629,0.00485859,0.00175012,-1.24897,-0.000629033,-0.0171134,1.30626,-0.0670638,-0.0573278,-1.27824,-0.00102842,-0.0178434,1.34833,-0.0798387,-0.0580901,0.00123902,-0.0245594,-0.0316119,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.24897,-0.000629033,-0.0171134,1.30626,-0.0670638,-0.0573278,-1.27824,-0.00102842,-0.0178434,1.34833,-0.0798387,-0.0580901,0.00123902,-0.0245594,-0.0316119,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000006_tz+0.10_tx-0.03_ty-0.02_p-0.05_fx+0.03_fy+0.00,-0.275729,3.4711256,0.55601,0.999789,0.0201975,-0.00354059,0.001557,-1.23347,-0.000576957,-0.0172862,1.28314,-0.042649,-0.0573522,-1.2629,-0.000985396,-0.0180163,1.32532,-0.0553794,-0.0581131,0.00169633,-0.0243757,-0.0148308,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.23347,-0.000576957,-0.0172862,1.28314,-0.042649,-0.0573522,-1.2629,-0.000985396,-0.0180163,1.32532,-0.0553794,-0.0581131,0.00169633,-0.0243757,-0.0148308,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000007_tz+0.10_tx-0.02_ty-0.02_p-0.05_fx-0.03_fy+0.00,-0.271174,3.4711282,0.556033,0.998279,0.0204917,0.0548672,0.00280069,-1.32767,-0.00043773,-0.0163896,1.42819,-0.210325,-0.057262,-1.35584,-0.000780785,-0.01713,1.46975,-0.223696,-0.05803,-0.00133594,-0.0252407,-0.1316,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.32767,-0.00043773,-0.0163896,1.42819,-0.210325,-0.057262,-1.35584,-0.000780785,-0.01713,1.46975,-0.223696,-0.05803,-0.00133594,-0.0252407,-0.1316,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000008_tz+0.10_tx-0.02_ty-0.02_p-0.05_fx-0.02_fy+0.00,-0.270402,3.4711304,0.555997,0.998704,0.0204695,0.0465331,0.00263822,-1.31612,-0.000526925,-0.0164823,1.40982,-0.186828,-0.0572659,-1.34449,-0.000879869,-0.0172198,1.45145,-0.200064,-0.0580333,-0.000927712,-0.0251687,-0.114923,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.31612,-0.000526925,-0.0164823,1.40982,-0.186828,-0.0572659,-1.34449,-0.000879869,-0.0172198,1.45145,-0.200064,-0.0580333,-0.000927712,-0.0251687,-0.114923,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000009_tz+0.10_tx-0.02_ty-0.02_p-0.05_fx-0.01_fy+0.00,-0.269629,3.4711317,0.555973,0.999058,0.0204412,0.038212,0.00247155,-1.30398,-0.000595085,-0.0165852,1.39069,-0.163175,-0.0572723,-1.33254,-0.000957681,-0.0173202,1.43238,-0.17629,-0.0580388,-0.000512524,-0.025081,-0.0982781,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.30398,-0.000595085,-0.0165852,1.39069,-0.163175,-0.0572723,-1.33254,-0.000957681,-0.0173202,1.43238,-0.17629,-0.0580388,-0.000512524,-0.025081,-0.0982781,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
