name,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qpos_34,qpos_35,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,ctrl_6,ctrl_7,ctrl_8,ctrl_9,ctrl_10,ctrl_11,ctrl_12,ctrl_13,ctrl_14,ctrl_15,ctrl_16,ctrl_17,ctrl_18,ctrl_19,ctrl_20,ctrl_21,ctrl_22,ctrl_23,ctrl_24,ctrl_25,ctrl_26,ctrl_27,ctrl_28
gen_000000_tz+0.03_tx-0.03_ty-0.02_p-0.05_fx-0.03_fy+0.00,-0.278968,1.4714568,0.486378,0.9993,0.0242776,0.0283376,0.00274199,-1.47593,-0.00447047,-0.0161829,1.67883,-0.259571,-0.0649525,-1.50868,-0.00506102,-0.0172243,1.72,-0.267971,-0.0661502,-0.00117679,-0.0326817,-0.0784712,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.47593,-0.00447047,-0.0161829,1.67883,-0.259571,-0.0649525,-1.50868,-0.00506102,-0.0172243,1.72,-0.267971,-0.0661502,-0.00117679,-0.0326817,-0.0784712,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000001_tz+0.03_tx-0.03_ty-0.02_p-0.05_fx-0.02_fy+0.00,-0.278205,1.4714579,0.486388,0.999502,0.024255,0.0200338,0.00259564,-1.46509,-0.00467808,-0.0162259,1.6597,-0.234682,-0.0649382,-1.49797,-0.00527886,-0.0172577,1.70084,-0.242917,-0.0661342,-0.000742775,-0.0326052,-0.0618669,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.46509,-0.00467808,-0.0162259,1.6597,-0.234682,-0.0649382,-1.49797,-0.00527886,-0.0172577,1.70084,-0.242917,-0.0661342,-0.000742775,-0.0326052,-0.0618669,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000002_tz+0.03_tx-0.03_ty-0.02_p-0.05_fx-0.01_fy+0.00,-0.277449,1.4714583,0.486409,0.999634,0.0242289,0.0118246,0.00244745,-1.45379,-0.00486658,-0.0162761,1.63985,-0.209714,-0.0649241,-1.48679,-0.00547685,-0.0172988,1.68096,-0.217806,-0.0661182,-0.000308342,-0.0325184,-0.0454551,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.45379,-0.00486658,-0.0162761,1.63985,-0.209714,-0.0649241,-1.48679,-0.00547685,-0.0172988,1.68096,-0.217806,-0.0661182,-0.000308342,-0.0325184,-0.0454551,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000003_tz+0.03_tx-0.03_ty-0.02_p-0.05_fx+0.00_fy+0.00,-0.2767,1.4714582,0.486441,0.999698,0.0242002,0.0036976,0.00229647,-1.442,-0.00503438,-0.0163316,1.61927,-0.184675,-0.0649099,-1.47511,-0.00565341,-0.0173458,1.66037,-0.192644,-0.0661021,0.000128485,-0.0324228,-0.02921,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.442,-0.00503438,-0.0163316,1.61927,-0.184675,-0.0649099,-1.47511,-0.00565341,-0.0173458,1.66037,-0.192644,-0.0661021,0.000128485,-0.0324228,-0.02921,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000004_tz+0.03_tx-0.03_ty-0.02_p-0.05_fx+0.01_fy+0.00,-0.275957,1.4714573,0.486483,0.999696,0.0241653,-0.00435451,0.00214383,-1.42971,-0.00518435,-0.0164025,1.59797,-0.159567,-0.064898,-1.46292,-0.00581167,-0.0174087,1.63907,-0.167434,-0.0660881,0.000565436,-0.0323112,-0.0131157,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.42971,-0.00518435,-0.0164025,1.59797,-0.159567,-0.064898,-1.46292,-0.00581167,-0.0174087,1.63907,-0.167434,-0.0660881,0.000565436,-0.0323112,-0.0131157,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000005_tz+0.03_tx-0.03_ty-0.02_p-0.05_fx+0.02_fy+0.00,-0.275219,1.4714555,0.486535,0.999631,0.0241241,-0.0123389,0.00198905,-1.41689,-0.00531563,-0.016489,1.57593,-0.134388,-0.0648886,-1.4502,-0.0059508,-0.0174878,1.61705,-0.142174,-0.0660764,0.00100331,-0.0321836,0.00284299,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.41689,-0.00531563,-0.016489,1.57593,-0.134388,-0.0648886,-1.4502,-0.0059508,-0.0174878,1.61705,-0.142174,-0.0660764,0.00100331,-0.0321836,0.00284299,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000006_tz+0.03_tx-0.03_ty-0.02_p-0.05_fx+0.03_fy+0.00,-0.274486,1.4714528,0.486596,0.999503,0.0240763,-0.0202622,0.00183198,-1.40354,-0.00542794,-0.016593,1.55317,-0.109136,-0.0648821,-1.43693,-0.00607058,-0.0175849,1.5943,-0.116862,-0.0660675,0.00144224,-0.0320389,0.0186802,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.40354,-0.00542794,-0.016593,1.55317,-0.109136,-0.0648821,-1.43693,-0.00607058,-0.0175849,1.5943,-0.116862,-0.0660675,0.00144224,-0.0320389,0.0186802,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000007_tz+0.03_tx-0.02_ty-0.02_p-0.05_fx-0.03_fy+0.00,-0.26974,1.4714548,0.48638,0.999025,0.024294,0.0367414,0.00288798,-1.48633,-0.00424687,-0.016153,1.69723,-0.284379,-0.0649686,-1.51893,-0.0048266,-0.0172044,1.73844,-0.292965,-0.0661678,-0.00161309,-0.0327425,-0.0952803,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.48633,-0.00424687,-0.016153,1.69723,-0.284379,-0.0649686,-1.51893,-0.0048266,-0.0172044,1.73844,-0.292965,-0.0661678,-0.00161309,-0.0327425,-0.0952803,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000008_tz+0.03_tx-0.02_ty-0.02_p-0.05_fx-0.02_fy+0.00,-0.268968,1.4714568,0.486378,0.9993,0.0242776,0.0283377,0.002742,-1.47593,-0.00447046,-0.0161827,1.67883,-0.259571,-0.0649525,-1.50868,-0.00506101,-0.0172241,1.72,-0.267971,-0.0661502,-0.00117681,-0.0326819,-0.0784716,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.47593,-0.00447046,-0.0161827,1.67883,-0.259571,-0.0649525,-1.50868,-0.00506101,-0.0172241,1.72,-0.267971,-0.0661502,-0.00117681,-0.0326819,-0.0784716,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000009_tz+0.03_tx-0.02_ty-0.02_p-0.05_fx-0.01_fy+0.00,-0.268205,1.4714578,0.486388,0.999502,0.0242543,0.0200337,0.00259599,-1.46509,-0.0046789,-0.0162278,1.6597,-0.234682,-0.0649386,-1.49797,-0.00527971,-0.0172596,1.70084,-0.242918,-0.0661346,-0.000743458,-0.0326037,-0.0618667,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.46509,-0.0046789,-0.0162278,1.6597,-0.234682,-0.0649386,-1.49797,-0.00527971,-0.0172596,1.70084,-0.242918,-0.0661346,-0.000743458,-0.0326037,-0.0618667,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000010_tz+0.03_tx-0.02_ty-0.02_p-0.05_fx+0.00_fy+0.00,-0.267449,1.4714583,0.486409,0.999634,0.024229,0.0118248,0.00244745,-1.45379,-0.00486657,-0.0162759,1.63985,-0.209714,-0.0649241,-1.48679,-0.00547684,-0.0172986,1.68096,-0.217806,-0.0661182,-0.000308351,-0.0325185,-0.0454555,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.45379,-0.00486657,-0.0162759,1.63985,-0.209714,-0.0649241,-1.48679,-0.00547684,-0.0172986,1.68096,-0.217806,-0.0661182,-0.000308351,-0.0325185,-0.0454555,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
