name,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qpos_34,qpos_35,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,ctrl_6,ctrl_7,ctrl_8,ctrl_9,ctrl_10,ctrl_11,ctrl_12,ctrl_13,ctrl_14,ctrl_15,ctrl_16,ctrl_17,ctrl_18,ctrl_19,ctrl_20,ctrl_21,ctrl_22,ctrl_23,ctrl_24,ctrl_25,ctrl_26,ctrl_27,ctrl_28
gen_000000_tz+0.02_tx-0.03_ty-0.02_p-0.05_fx-0.03_fy+0.00,-0.278645,0.9715109,0.476431,0.999388,0.0248954,0.0244377,0.00271919,-1.49563,-0.00503051,-0.0161114,1.71453,-0.267758,-0.0662335,-1.52928,-0.00567376,-0.017212,1.75575,-0.275323,-0.0675162,-0.0010951,-0.0339003,-0.0706619,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.49563,-0.00503051,-0.0161114,1.71453,-0.267758,-0.0662335,-1.52928,-0.00567376,-0.017212,1.75575,-0.275323,-0.0675162,-0.0010951,-0.0339003,-0.0706619,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000001_tz+0.02_tx-0.03_ty-0.02_p-0.05_fx-0.02_fy+0.00,-0.27788,0.9715118,0.476447,0.999557,0.0248718,0.016112,0.00257396,-1.48489,-0.00525498,-0.0161458,1.69534,-0.242667,-0.0662165,-1.51865,-0.00590854,-0.0172356,1.73652,-0.250065,-0.0674972,-0.000653295,-0.0338208,-0.0540145,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.48489,-0.00525498,-0.0161458,1.69534,-0.242667,-0.0662165,-1.51865,-0.00590854,-0.0172356,1.73652,-0.250065,-0.0674972,-0.000653295,-0.0338208,-0.0540145,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000002_tz+0.02_tx-0.03_ty-0.02_p-0.05_fx-0.01_fy+0.00,-0.277124,0.9715121,0.476475,0.999657,0.0248461,0.00789192,0.00242694,-1.4737,-0.00545952,-0.016184,1.67543,-0.217512,-0.0661986,-1.50757,-0.0061225,-0.0172635,1.71657,-0.224763,-0.0674773,-0.000211573,-0.0337337,-0.0375811,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.4737,-0.00545952,-0.016184,1.67543,-0.217512,-0.0661986,-1.50757,-0.0061225,-0.0172635,1.71657,-0.224763,-0.0674773,-0.000211573,-0.0337337,-0.0375811,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000003_tz+0.02_tx-0.03_ty-0.02_p-0.05_fx+0.00_fy+0.00,-0.276376,0.9715118,0.476513,0.999689,0.0248161,-0.000233579,0.00227838,-1.46204,-0.0056454,-0.0162323,1.6548,-0.192297,-0.0661816,-1.49601,-0.0063171,-0.0173021,1.69591,-0.199423,-0.0674581,0.000229748,-0.0336346,-0.0213386,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.46204,-0.0056454,-0.0162323,1.6548,-0.192297,-0.0661816,-1.49601,-0.0063171,-0.0173021,1.69591,-0.199423,-0.0674581,0.000229748,-0.0336346,-0.0213386,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000004_tz+0.02_tx-0.03_ty-0.02_p-0.05_fx+0.01_fy+0.00,-0.275636,0.9715104999999999,0.476561,0.999656,0.0247801,-0.00827084,0.00212847,-1.4499,-0.00581357,-0.0162958,1.63345,-0.167022,-0.0661668,-1.48396,-0.00649345,-0.0173564,1.67455,-0.174047,-0.0674408,0.000670147,-0.0335199,-0.00527323,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.4499,-0.00581357,-0.0162958,1.63345,-0.167022,-0.0661668,-1.48396,-0.00649345,-0.0173564,1.67455,-0.174047,-0.0674408,0.000670147,-0.0335199,-0.00527323,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000005_tz+0.02_tx-0.03_ty-0.02_p-0.05_fx+0.02_fy+0.00,-0.274902,0.9715085,0.476619,0.99956,0.0247378,-0.0162263,0.00197693,-1.43727,-0.00596359,-0.0163757,1.61138,-0.141688,-0.0661543,-1.47139,-0.00665114,-0.0174278,1.65248,-0.148633,-0.0674258,0.00111006,-0.0333893,0.0106289,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.43727,-0.00596359,-0.0163757,1.61138,-0.141688,-0.0661543,-1.47139,-0.00665114,-0.0174278,1.65248,-0.148633,-0.0674258,0.00111006,-0.0333893,0.0106289,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000006_tz+0.02_tx-0.03_ty-0.02_p-0.05_fx+0.03_fy+0.00,-0.274175,0.9715056,0.476687,0.999403,0.0246898,-0.0241096,0.00182307,-1.42411,-0.00609417,-0.0164712,1.58859,-0.116293,-0.0661442,-1.4583,-0.00678893,-0.0175154,1.62969,-0.12318,-0.067413,0.00155081,-0.0332436,0.0263878,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.42411,-0.00609417,-0.0164712,1.58859,-0.116293,-0.0661442,-1.4583,-0.00678893,-0.0175154,1.62969,-0.12318,-0.067413,0.00155081,-0.0332436,0.0263878,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000007_tz+0.02_tx-0.02_ty-0.02_p-0.05_fx-0.03_fy+0.00,-0.269419,0.9715093,0.476425,0.999145,0.0249142,0.032878,0.00286383,-1.50596,-0.00478864,-0.0160868,1.73299,-0.292775,-0.0662513,-1.53947,-0.00542082,-0.0171987,1.77428,-0.300531,-0.0675358,-0.00153932,-0.0339669,-0.0875426,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.50596,-0.00478864,-0.0160868,1.73299,-0.292775,-0.0662513,-1.53947,-0.00542082,-0.0171987,1.77428,-0.300531,-0.0675358,-0.00153932,-0.0339669,-0.0875426,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000008_tz+0.02_tx-0.02_ty-0.02_p-0.05_fx-0.02_fy+0.00,-0.268645,0.9715109,0.476431,0.999388,0.0248954,0.0244379,0.00271918,-1.49563,-0.00503048,-0.0161112,1.71453,-0.267757,-0.0662335,-1.52928,-0.00567372,-0.0172118,1.75575,-0.275322,-0.0675162,-0.0010951,-0.0339005,-0.0706623,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.49563,-0.00503048,-0.0161112,1.71453,-0.267757,-0.0662335,-1.52928,-0.00567372,-0.0172118,1.75575,-0.275322,-0.0675162,-0.0010951,-0.0339005,-0.0706623,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000009_tz+0.02_tx-0.02_ty-0.02_p-0.05_fx-0.01_fy+0.00,-0.26788,0.9715118,0.476447,0.999557,0.0248719,0.0161122,0.00257395,-1.48489,-0.00525495,-0.0161455,1.69534,-0.242667,-0.0662164,-1.51865,-0.0059085,-0.0172353,1.73652,-0.250064,-0.0674971,-0.000653293,-0.033821,-0.0540149,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.48489,-0.00525495,-0.0161455,1.69534,-0.242667,-0.0662164,-1.51865,-0.0059085,-0.0172353,1.73652,-0.250064,-0.0674971,-0.000653293,-0.033821,-0.0540149,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
