name,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qpos_34,qpos_35,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,ctrl_6,ctrl_7,ctrl_8,ctrl_9,ctrl_10,ctrl_11,ctrl_12,ctrl_13,ctrl_14,ctrl_15,ctrl_16,ctrl_17,ctrl_18,ctrl_19,ctrl_20,ctrl_21,ctrl_22,ctrl_23,ctrl_24,ctrl_25,ctrl_26,ctrl_27,ctrl_28
gen_000000_tz+0.07_tx-0.03_ty-0.02_p-0.05_fx-0.03_fy+0.00,-0.280066,2.9712379,0.531145,0.998879,0.0217466,0.0419592,0.00273632,-1.3781,-0.00197591,-0.0163916,1.51008,-0.215936,-0.0597701,-1.40769,-0.00239166,-0.0172175,1.55136,-0.227605,-0.0606639,-0.00118657,-0.0276882,-0.105756,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.3781,-0.00197591,-0.0163916,1.51008,-0.215936,-0.0597701,-1.40769,-0.00239166,-0.0172175,1.55136,-0.227605,-0.0606639,-0.00118657,-0.0276882,-0.105756,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000001_tz+0.07_tx-0.03_ty-0.02_p-0.05_fx-0.02_fy+0.00,-0.279301,2.9712395,0.53113,0.999193,0.0217229,0.0336853,0.00258048,-1.36656,-0.00210098,-0.0164738,1.49105,-0.191881,-0.0597684,-1.39633,-0.00252655,-0.0172948,1.53236,-0.203412,-0.0606612,-0.000773558,-0.027611,-0.0892071,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.36656,-0.00210098,-0.0164738,1.49105,-0.191881,-0.0597684,-1.39633,-0.00252655,-0.0172948,1.53236,-0.203412,-0.0606612,-0.000773558,-0.027611,-0.0892071,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000002_tz+0.07_tx-0.03_ty-0.02_p-0.05_fx-0.01_fy+0.00,-0.278538,2.9712404,0.531127,0.999438,0.0216951,0.0254504,0.00241988,-1.35448,-0.00220355,-0.0165629,1.47125,-0.167698,-0.059768,-1.38441,-0.00263852,-0.0173795,1.51261,-0.179107,-0.0606597,-0.000353086,-0.0275221,-0.0727417,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.35448,-0.00220355,-0.0165629,1.47125,-0.167698,-0.059768,-1.38441,-0.00263852,-0.0173795,1.51261,-0.179107,-0.0606597,-0.000353086,-0.0275221,-0.0727417,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000003_tz+0.07_tx-0.03_ty-0.02_p-0.05_fx+0.00_fy+0.00,-0.277776,2.9712406,0.531134,0.999614,0.0216634,0.0172404,0.00225341,-1.34181,-0.00228167,-0.0166586,1.4507,-0.143396,-0.0597689,-1.37191,-0.00272563,-0.0174714,1.49211,-0.154697,-0.0606594,7.70512e-05,-0.0274216,-0.0563303,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.34181,-0.00228167,-0.0166586,1.4507,-0.143396,-0.0597689,-1.37191,-0.00272563,-0.0174714,1.49211,-0.154697,-0.0606594,7.70512e-05,-0.0274216,-0.0563303,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000004_tz+0.07_tx-0.03_ty-0.02_p-0.05_fx+0.01_fy+0.00,-0.277014,2.97124,0.531152,0.999723,0.0216244,0.00904721,0.00208367,-1.32854,-0.00233998,-0.0167699,1.42938,-0.118973,-0.0597731,-1.35879,-0.00279272,-0.0175793,1.47086,-0.130184,-0.0606623,0.000511572,-0.0273027,-0.0399557,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.32854,-0.00233998,-0.0167699,1.42938,-0.118973,-0.0597731,-1.35879,-0.00279272,-0.0175793,1.47086,-0.130184,-0.0606623,0.000511572,-0.0273027,-0.0399557,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000005_tz+0.07_tx-0.03_ty-0.02_p-0.05_fx+0.02_fy+0.00,-0.276252,2.9712384,0.53118,0.999765,0.0215777,0.000864223,0.00191047,-1.31464,-0.00237775,-0.016898,1.4073,-0.0944261,-0.0597808,-1.34504,-0.00283911,-0.0177045,1.44885,-0.105566,-0.0606686,0.000950622,-0.0271642,-0.0236035,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.31464,-0.00237775,-0.016898,1.4073,-0.0944261,-0.0597808,-1.34504,-0.00283911,-0.0177045,1.44885,-0.105566,-0.0606686,0.000950622,-0.0271642,-0.0236035,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000006_tz+0.07_tx-0.03_ty-0.02_p-0.05_fx+0.03_fy+0.00,-0.275489,2.9712358,0.531219,0.99974,0.0215236,-0.00731838,0.00173262,-1.30008,-0.00239253,-0.0170423,1.38443,-0.0697549,-0.0597921,-1.33062,-0.00286235,-0.0178466,1.42607,-0.0808411,-0.0606784,0.00139629,-0.0270064,-0.00725313,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.30008,-0.00239253,-0.0170423,1.38443,-0.0697549,-0.0597921,-1.33062,-0.00286235,-0.0178466,1.42607,-0.0808411,-0.0606784,0.00139629,-0.0270064,-0.00725313,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000007_tz+0.07_tx-0.02_ty-0.02_p-0.05_fx-0.03_fy+0.00,-0.270834,2.9712354,0.53117,0.998494,0.021763,0.050276,0.00289122,-1.3891,-0.00183557,-0.0163242,1.52837,-0.239863,-0.0597745,-1.41851,-0.00224123,-0.0171552,1.56962,-0.251689,-0.0606692,-0.0015993,-0.0277473,-0.122396,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.3891,-0.00183557,-0.0163242,1.52837,-0.239863,-0.0597745,-1.41851,-0.00224123,-0.0171552,1.56962,-0.251689,-0.0606692,-0.0015993,-0.0277473,-0.122396,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000008_tz+0.07_tx-0.02_ty-0.02_p-0.05_fx-0.02_fy+0.00,-0.270066,2.9712379,0.531145,0.998879,0.0217467,0.0419594,0.00273634,-1.3781,-0.00197594,-0.0163915,1.51008,-0.215936,-0.0597701,-1.40769,-0.00239169,-0.0172174,1.55136,-0.227605,-0.0606639,-0.00118661,-0.0276883,-0.105756,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.3781,-0.00197594,-0.0163915,1.51008,-0.215936,-0.0597701,-1.40769,-0.00239169,-0.0172174,1.55136,-0.227605,-0.0606639,-0.00118661,-0.0276883,-0.105756,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000009_tz+0.07_tx-0.02_ty-0.02_p-0.05_fx-0.01_fy+0.00,-0.269301,2.9712395,0.53113,0.999193,0.021723,0.0336855,0.0025805,-1.36656,-0.00210102,-0.0164737,1.49105,-0.19188,-0.0597684,-1.39633,-0.00252659,-0.0172947,1.53236,-0.203412,-0.0606612,-0.000773606,-0.0276111,-0.0892075,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.36656,-0.00210102,-0.0164737,1.49105,-0.19188,-0.0597684,-1.39633,-0.00252659,-0.0172947,1.53236,-0.203412,-0.0606612,-0.000773606,-0.0276111,-0.0892075,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
